designator,x_mm,y_mm,rotation,reason
R35,30.88,7.0,90,"byte 2 15 ohm series, TL0"
R36,32.18,7.0,90,"byte 2 15 ohm series, TL0"
R25,26.56,11.3,90,U3 ZQ 240 ohm at ball B9 (5 pF max load)
C13,35.76,16.9,90,U3 VREFCA at ball J1 (Table 9)
C14,35.76,14.1,90,"U3 VDD/VDDQ, right-hand VDD balls (Table 9)"
C15,26.56,15.3,90,"U3 VDD/VDDQ, left-hand VDD balls (Table 9)"
C16,31.16,21.7,0,"U3 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C17,35.76,11.3,90,U3 VPP at ball B1 (Table 9)
C18,26.56,19.3,90,U3 VPP at ball M9 (Table 9)
U4,42.09,15.3,180,"byte 3 DRAM, lane 37.3, TL3/TL4 fly-by spacing"
R38,36.45,5.0,90,"byte 3 15 ohm series, TL0"
R39,37.75,5.0,90,"byte 3 15 ohm series, TL0"
R40,39.05,5.0,90,"byte 3 15 ohm series, TL0"
R41,40.35,5.0,90,"byte 3 15 ohm series, TL0"
R42,41.65,5.0,90,"byte 3 15 ohm series, TL0"
R43,42.95,5.0,90,"byte 3 15 ohm series, TL0"
R44,37.1,7.0,90,"byte 3 15 ohm series, TL0"
R45,38.4,7.0,90,"byte 3 15 ohm series, TL0"
R46,39.7,7.0,90,"byte 3 15 ohm series, TL0"
R47,41.0,7.0,90,"byte 3 15 ohm series, TL0"
R48,42.3,7.0,90,"byte 3 15 ohm series, TL0"
R37,37.49,11.3,90,U4 ZQ 240 ohm at ball B9 (5 pF max load)
C19,46.69,16.9,90,U4 VREFCA at ball J1 (Table 9)
C20,46.69,14.1,90,"U4 VDD/VDDQ, right-hand VDD balls (Table 9)"
C21,37.49,15.3,90,"U4 VDD/VDDQ, left-hand VDD balls (Table 9)"
C22,42.09,21.7,0,"U4 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C23,46.69,11.3,90,U4 VPP at ball B1 (Table 9)
C24,37.49,19.3,90,U4 VPP at ball M9 (Table 9)
U5,87.91,15.3,180,"byte 4 DRAM, lane 92.6, TL3/TL4 fly-by spacing"
R50,87.0,5.0,90,"byte 4 15 ohm series, TL0"
R51,88.3,5.0,90,"byte 4 15 ohm series, TL0"
R52,89.6,5.0,90,"byte 4 15 ohm series, TL0"
R53,90.9,5.0,90,"byte 4 15 ohm series, TL0"
R54,92.2,5.0,90,"byte 4 15 ohm series, TL0"
R55,93.5,5.0,90,"byte 4 15 ohm series, TL0"
R56,87.65,7.0,90,"byte 4 15 ohm series, TL0"
R57,88.95,7.0,90,"byte 4 15 ohm series, TL0"
R58,90.25,7.0,90,"byte 4 15 ohm series, TL0"
R59,91.55,7.0,90,"byte 4 15 ohm series, TL0"
R60,92.85,7.0,90,"byte 4 15 ohm series, TL0"
R49,83.31,11.3,90,U5 ZQ 240 ohm at ball B9 (5 pF max load)
C25,92.51,16.9,90,U5 VREFCA at ball J1 (Table 9)
C26,92.51,14.1,90,"U5 VDD/VDDQ, right-hand VDD balls (Table 9)"
C27,83.31,15.3,90,"U5 VDD/VDDQ, left-hand VDD balls (Table 9)"
C28,87.91,21.7,0,"U5 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C29,92.51,11.3,90,U5 VPP at ball B1 (Table 9)
C30,83.31,19.3,90,U5 VPP at ball M9 (Table 9)
U6,98.84,15.3,180,"byte 5 DRAM, lane 102.0, TL3/TL4 fly-by spacing"
R62,97.17,5.0,90,"byte 5 15 ohm series, TL0"
R63,98.47,5.0,90,"byte 5 15 ohm series, TL0"
R64,99.77,5.0,90,"byte 5 15 ohm series, TL0"
R65,101.07,5.0,90,"byte 5 15 ohm series, TL0"
R66,102.37,5.0,90,"byte 5 15 ohm series, TL0"
R67,103.67,5.0,90,"byte 5 15 ohm series, TL0"
R68,97.82,7.0,90,"byte 5 15 ohm series, TL0"
R69,99.12,7.0,90,"byte 5 15 ohm series, TL0"
R70,100.42,7.0,90,"byte 5 15 ohm series, TL0"
R71,101.72,7.0,90,"byte 5 15 ohm series, TL0"
R72,103.02,7.0,90,"byte 5 15 ohm series, TL0"
R61,94.24,11.3,90,U6 ZQ 240 ohm at ball B9 (5 pF max load)
C31,103.44,16.9,90,U6 VREFCA at ball J1 (Table 9)
C32,103.44,14.1,90,"U6 VDD/VDDQ, right-hand VDD balls (Table 9)"
C33,94.24,15.3,90,"U6 VDD/VDDQ, left-hand VDD balls (Table 9)"
C34,98.84,21.7,0,"U6 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C35,103.44,11.3,90,U6 VPP at ball B1 (Table 9)
C36,94.24,19.3,90,U6 VPP at ball M9 (Table 9)
U7,109.77,15.3,180,"byte 6 DRAM, lane 111.3, TL3/TL4 fly-by spacing"
R74,107.28,5.0,90,"byte 6 15 ohm series, TL0"
R75,108.58,5.0,90,"byte 6 15 ohm series, TL0"
R76,109.88,5.0,90,"byte 6 15 ohm series, TL0"
R77,111.18,5.0,90,"byte 6 15 ohm series, TL0"
R78,112.48,5.0,90,"byte 6 15 ohm series, TL0"
R79,113.78,5.0,90,"byte 6 15 ohm series, TL0"
R80,107.93,7.0,90,"byte 6 15 ohm series, TL0"
R81,109.23,7.0,90,"byte 6 15 ohm series, TL0"
R82,110.53,7.0,90,"byte 6 15 ohm series, TL0"
R83,111.83,7.0,90,"byte 6 15 ohm series, TL0"
R84,113.13,7.0,90,"byte 6 15 ohm series, TL0"
R73,105.17,11.3,90,U7 ZQ 240 ohm at ball B9 (5 pF max load)
C37,114.37,16.9,90,U7 VREFCA at ball J1 (Table 9)
C38,114.37,14.1,90,"U7 VDD/VDDQ, right-hand VDD balls (Table 9)"
C39,105.17,15.3,90,"U7 VDD/VDDQ, left-hand VDD balls (Table 9)"
C40,109.77,21.7,0,"U7 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C41,114.37,11.3,90,U7 VPP at ball B1 (Table 9)
C42,105.17,19.3,90,U7 VPP at ball M9 (Table 9)
U8,120.7,15.3,180,"byte 7 DRAM, lane 120.7, TL3/TL4 fly-by spacing"
R86,117.45,5.0,90,"byte 7 15 ohm series, TL0"
R87,118.75,5.0,90,"byte 7 15 ohm series, TL0"
R88,120.05,5.0,90,"byte 7 15 ohm series, TL0"
R89,121.35,5.0,90,"byte 7 15 ohm series, TL0"
R90,122.65,5.0,90,"byte 7 15 ohm series, TL0"
R91,123.95,5.0,90,"byte 7 15 ohm series, TL0"
R92,118.1,7.0,90,"byte 7 15 ohm series, TL0"
R93,119.4,7.0,90,"byte 7 15 ohm series, TL0"
R94,120.7,7.0,90,"byte 7 15 ohm series, TL0"
R95,122.0,7.0,90,"byte 7 15 ohm series, TL0"
R96,123.3,7.0,90,"byte 7 15 ohm series, TL0"
R85,116.1,11.3,90,U8 ZQ 240 ohm at ball B9 (5 pF max load)
C43,125.3,16.9,90,U8 VREFCA at ball J1 (Table 9)
C44,125.3,14.1,90,"U8 VDD/VDDQ, right-hand VDD balls (Table 9)"
C45,116.1,15.3,90,"U8 VDD/VDDQ, left-hand VDD balls (Table 9)"
C46,120.7,21.7,0,"U8 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C47,125.3,11.3,90,U8 VPP at ball B1 (Table 9)
C48,116.1,19.3,90,U8 VPP at ball M9 (Table 9)
U9,66.675,24.0,90,"SPD, top centre as in the Annex A layout drawing"
C49,69.2,24.0,90,SPD VDDSPD decoupling
R106,65.825,5.2,0,"CK1 75 ohm across CK1_t/c, TL0 3.7 +/- 0.8 mm (Annex A p.7)"
C70,68.2,5.2,90,VTT cap next to the VTT finger (Table 9)
C53,129.2,5.2,90,VPP cap next to the VPP fingers (Table 9)
C54,4.2,5.2,90,VREFCA cap next to the VREFCA finger (Table 9)
R97,113.0,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R98,114.3,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R99,115.6,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R100,116.9,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R101,118.2,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R103,119.5,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R104,120.8,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R105,122.1,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R107,123.4,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R108,124.7,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R109,126.0,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R110,127.3,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R111,128.6,23.2,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R112,113.0,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R113,114.3,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R114,115.6,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R116,116.9,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R118,118.2,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R119,119.5,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R120,120.8,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R121,122.1,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R122,123.4,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R123,124.7,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R124,126.0,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R125,127.3,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R126,128.6,25.6,90,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
C57,113.0,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C58,114.3,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C59,115.6,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C60,116.9,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C61,118.2,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C62,119.5,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C63,120.8,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C64,122.1,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C65,123.4,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C66,124.7,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C67,126.0,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C68,127.3,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
C69,128.6,28.0,90,"VTT decoupling, 1 per 2 terminations (Table 9)"
R115,126.0,20.5,90,"CK0_t 39 ohm after U8, TL5 13.0 mm (Annex A p.6)"
R117,127.3,20.5,90,"CK0_c 39 ohm after U8, TL5 13.0 mm (Annex A p.6)"
C56,128.6,20.5,90,CK0 0.01 uF to VDD (Annex A p.6)
R102,4.4,21.2,90,"ALERT_n 47 ohm pull-up to VDD before the first DRAM U1, TL0 2.5 mm (Annex A p.12, main spec 6.3.7)"
C50,48.8,15.3,90,4.7 uF bulk VDD (Table 9)
C51,81.2,15.3,90,4.7 uF bulk VDD (Table 9)
C52,25.0,25.5,0,4.7 uF bulk VDD (Table 9)
C55,100.0,25.5,0,4.7 uF bulk VDD (Table 9)
